Antenna Offset from Bow,Antenna Offset from Port,Beam,Builder,Call Sign,Cargo Type,Class Society,COG,Beneficial Owner,Deadweight,Destination,Design Draft,Draft Present Load,ETA,Fishing Number,Flag,Gross Tonnage,Heading,IMO Number,Last Port of Call,Latitude,Length,Longitude,MMSI,Name,Navigation Status,Official Number,Operator,Registered Owner,P And I Club,Port Of Registry,Propulsion Type,Sat Com,Sat Com Ansbk Code,Ship Type,Speed,Status,Sub Status,Subtype,Time of Fix (formatted),Time of Fix (s since 1970),Vessel Type,Year Built,Design Speed,Double Hull
112,10,22,Iwagi Zosen Co Ltd,3FKX6,0-AllShips,Overseas Marine Certification,336.1,China,10461,Peru Fg,8.81,6.2,11071000,null,Panama,9829,326,9045948,null,-18.463043,142,-81.442753,353709000,Ocean Star 86,2-NotUnderCmd,4997518,Zhoushan Ningtai Ocean Fish,Lin C & Wu X,Unknown,Panama,Propeller : Fixed Pitch,null,null,Other Cargo Ship,1.7,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:02:32.000Z""",1668182552,7-Cargo,15/06/1992,19.5,null
100,8,16,Kyokuyo Shipyard Corp,HOZZ,0-AllShips,Nippon Kaiji Kyokai,153.7,South Korea,5591,Dhb  Alaska,7.11,7,10271300,null,Panama,4444,256,9000376,DUTCH HARBOR,53.858167,120,-166.577543,356386000,Suah,1-AtAnchor,4337912C,Oswego Ltd,Boyang Ltd,Korea P&I Club,Panama,Propeller : Fixed Pitch,null,null,Refrigerated Cargo Ship,0.1,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:28:53.000Z""",1668184133,7-Cargo,17/09/1990,15.75,null
0,0,0,"Sener, I",TC7616,0-AllShips,null,259.6,Turkey,null,,null,0,2460,null,Turkey,77,259.6,0,null,38.391947,0,26.437853,271072825,Lokmaci-1,15-NotDefined,4048,Guvercin ME,Guvercin ME,Unknown,Izmir,Propeller : Fixed Pitch,null,null,null,2.1,S,In Service/Commission,Fish Carrier,"""2022-11-11T10:50:05.000Z""",1668163805,30-Fishing,null,0,null
0.5,0.5,1,null,,Unknown,null,11.3,null,null,,null,0,0,null,null,null,11.3,0,JAKARTA,-6.013765,1,106.811132,525800450,Km.jaya Utama 99,15-NotDefined,null,null,null,null,null,null,null,null,null,5.9,null,null,null,"""2022-09-08T14:15:07.000Z""",1662646507,0-Unknown,null,null,null
59,7,11,Uudenkaupungin / Nystads,TJMC17,0-AllShips,null,0,Russia,1666,Gw Oxb,4.712,3.6,10151400,null,Cameroon,1327,0,7359278,BISSAU,11.771517,74,-15.618943,613003558,Sunny Lisa,1-AtAnchor,null,Shipdeal Corp,Shipdeal Corp,Unknown,Kribi,Propeller : Controllable Pitch,null,null,null,0,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:04:20.000Z""",1668182660,7-Cargo,20/12/1974,13.5,null
75,5,15,Teraoka Shipyard Co Ltd,3EYB6,0-AllShips,Nippon Kaiji Kyokai,-1,South Korea,4218,Pohnpei.fsm,6.213,4.6,10031129,null,Panama,3475,135,8810645,POHNEPI HARBOR,6.986342,95,158.167648,352796000,Mv.khana,1-AtAnchor,4533613A,Oswego Ltd,Boyang Ltd,Japan P&I Club,Panama,Propeller : Fixed Pitch,null,null,null,0.1,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T15:26:43.000Z""",1668180403,7-Cargo,25/10/1988,15,null
10,5,10,Aas Mekaniske Verksted AS,LLAT3,0-AllShips,null,275.8,United Kingdom,650,Loch Etive,null,3.6,11121630,null,Norway (Nis),482,280,9220689,SCRABSTER HARBOR,58.639752,40,-4.827945,259662000,Migdale,0-Underway(Engine),null,Migdale Transport Ltd,  Unknown,Unknown,Aalesund                              ,Propeller : Fixed Pitch,null,null,null,9.4,S,In Service/Commission,Fish Carrier,"""2022-11-11T16:34:31.000Z""",1668184471,7-Cargo,25/04/2000,14.5,SH
0,0,0,Nagasaki,,0-AllShips,Flag authority,0.9,Japan,null,,3.71,0,0,null,Japan,375,138.9,0,HACHINOHE KO,40.527537,0,141.5346,431072000,Soho Maru No.26,15-NotDefined,142225,Fukushima Gyogyo,Fukushima Gyogyo,Unknown,"Hachinohe, Aomori","Propeller : Yes, Type Unknown",null,null,null,0.1,S,In Service/Commission,Fishing Vessel,"""2022-11-11T16:24:49.000Z""",1668183889,30-Fishing,18/05/2014,0,SH
0,0,0,"Chaidir, T",YBA4047,0-AllShips,null,0,Indonesia,null,,1.2,0,0,null,Indonesia,185,0,0,JAKARTA,-6.100992,0,106.804018,525700195,Sintobajaya28,15-NotDefined,null,Sulystio Y,Sulystio Y,Unknown,Cirebon,Propeller : Fixed Pitch,null,null,null,0.2,S,In Service/Commission,Fish Carrier,"""2022-11-06T07:42:47.000Z""",1667720567,30-Fishing,null,0,null
185,5,32,NKK Corp - Tsurumi - Yokohama,UBES7,0-AllShips,Russian Maritime Register,132,Russia,36484,Ome,10.5,8.7,10282000,null,Russia,49367,55,7913622,VLADIVOSTOK,59.00503,228,148.327675,273455520,Vladivostok 2000,3-ResManoeuvre,null,Pacific Marine Trawlers Co Ltd,  Unknown,Unknown,Nakhodka,Propeller : Controllable Pitch,null,null,null,1.2,S,In Service/Commission,Fish Factory Ship,"""2022-11-11T15:29:45.000Z""",1668180585,30-Fishing,14/03/1980,14.8,DHE
50,6,12,Mategata,V3ZX,0-AllShips,New United Marine Services Ltd,268.6,Hong Kong,730,Kpo_kr Off,null,5.4,11102245,null,Belize,1496,186,8948997,POHANG,36.016198,76,129.41835,312174000,Heng He,5-Moored,621720114,Great Sea Marine Ltd,  Unknown,Unknown,Belize City,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,General Cargo Ship,"""2022-11-11T16:30:28.000Z""",1668184228,7-Cargo,01/12/1998,11.5,null
8,6,7,La Force Shipyard Inc,WAQ3499,0-AllShips,null,123.9,United States of America,null,,null,0,0,null,United States Of America,115,89,0,KETCHIKAN,55.350185,24,-131.683267,368213000,Savage,15-NotDefined,648797,Savage Inc,Savage Inc,Unknown,"Ketchikan, AK",Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Fishing Vessel,"""2022-11-10T03:56:53.000Z""",1668052613,30-Fishing,null,0,SH
75,5,10,Zhejiang Donghong Shipbuilding,BVMO5,0-AllShips,null,39.3,China,null,Quan Zhou,null,3.5,9201200,null,"China, People's Republic Of",3014,26,0,PUSAN,25.409008,91,119.952987,412440364,Fu Yuan Yu Yun 87,15-NotDefined,3.5E+15,Fujian Gangshun Pelagi,Fujian Gangshun Pelagi,Unknown,"Fuzhou, Fujian",Propeller : Fixed Pitch,null,null,null,6.4,S,In Service/Commission,Fish Carrier,"""2022-11-11T16:40:12.000Z""",1668184812,30-Fishing,null,0,null
96,8,16,Shin Kurushima Imabari,D7MZ,0-AllShips,Korean Register,200,South Korea,2695,Kr Mok,7.028,7.5,11191400,null,"Korea, South",4643,123,9163439,POHNEPI HARBOR,6.990163,120,158.171565,440217000,M/v Badaro,1-AtAnchor,JJR-141009,Sea Road Shipping & Agency Co,Dongwon Industries Co Ltd,West of England,Jeju,Propeller : Fixed Pitch,null,null,Other Cargo Ship,0,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T15:26:37.000Z""",1668180397,7-Cargo,23/06/1997,16.4,null
16,0,0,Wisman,YEB5627,0-AllShips,null,-1,Indonesia,null,,null,0,0,null,Indonesia,133,234.2,0,BITUNG,1.450218,25,125.208938,525600365,Nusantara 20,15-NotDefined,null,Samudra Mandiri Sentosa PT,Samudra Mandiri Sentosa PT,Unknown,Benoa,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Fish Carrier,"""2022-05-31T17:34:59.000Z""",1654018499,36-Sailing,28/12/2007,0,null
102,5,18,Minaminippon Shbldg - Shitanoe,3ECZ6,9-NoInfo,Panama Maritime Documentation,270,Taiwan,6044,Bangkok,7.164,7.1,11162030,null,Panama,6049,270,7908976,RABAUL,7.933333,137,118.215,374317000,Tai Fu No.1,0-Underway(Engine),4722715A,Sun Victory Shipping SA,Sun Big Shipping SA,Unknown,Panama,Propeller : Fixed Pitch,null,null,null,13,T,To Be Broken Up,Refrigerated Cargo Ship,"""2022-11-11T08:14:15.000Z""",1668154455,7-Cargo,26/07/1979,17.5,null
90,5,16,Huanghai Shipbuilding Co Ltd,BZW4A,0-AllShips,null,297.8,China,null,Zhoushan,null,7,11130600,null,"China, People's Republic Of",4400,301,9810616,TARAWA ATOLL,23.192835,115,131.378575,412371221,Kai Chuang 102,0-Underway(Engine),2016FT200005,Shanghai Deep Sea Fisheries,Shanghai Fisheries Group Co,North of England,Shanghai,Propeller : Fixed Pitch,null,null,null,13.5,S,In Service/Commission,Fish Carrier,"""2022-11-11T10:09:03.000Z""",1668161343,7-Cargo,22/04/2016,14,SH
166,8,32,Jinling Shipyard,3FJT5,0-AllShips,Lloyd's Register,247.2,Singapore,56719,Hong Kong,12.8,6.5,11120800,null,Panama,32987,249,9599913,KEPPEL - (EAST SINGAPORE),22.433015,190,116.469953,354604000,Shanghai Bulker,0-Underway(Engine),4913017,Oldendorff Carriers GmbH & Co,Soon Fong Shipping Pte Ltd,Standard Club,Panama,Propeller : Fixed Pitch,null,null,Bulk Carrier,13.4,S,In Service/Commission,Bulk Carrier,"""2022-11-11T09:53:01.000Z""",1668160381,7-Cargo,15/05/2012,14.2,DBE
20,3,6,null,YB3587,0-AllShips,null,133.6,null,null,,null,0,0,null,null,null,133.6,0,JOHOR,0.92464,25,104.266765,525006083,Km Sri Rahayu,15-NotDefined,null,null,null,null,null,null,null,null,null,8.8,null,null,null,"""2022-11-11T15:48:36.000Z""",1668181716,7-Cargo,null,null,null
99,8,18,Shin Kurushima Akitsu,3FYZ6,0-AllShips,Lloyd's Register,289.5,China,6526,High Sea,7.325,6.1,11111200,null,Panama,4970,121.4,8804244,RABAUL,-4.2168,124,152.16325,357497000,Tai Ji,0-Underway(Engine),4273511C,Liaoyu Group Co Ltd,Liaoyu Group Co Ltd,West of England,Panama,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:19:08.000Z""",1668183548,7-Cargo,12/12/1988,17,null
85,9,18,Solisnor,OZ2162,0-AllShips,Det Norske Veritas,67.1,Lithuania,6120,Maaloy,7.41,6.4,11121700,null,Faeroes (Fas),5084,59,8819275,LAS PALMAS,61.998635,109,-4.112423,231257000,Aurora,0-Underway(Engine),FO-012900,Limarko Shipping Co AB,Limarko UAB,West of England,Torshavn                              ,Propeller : Fixed Pitch,null,null,null,13.5,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:29:36.000Z""",1668184176,7-Cargo,09/06/1990,16,null
21,4,8,null,YB5493,0-AllShips,null,312.5,null,null,,null,0,0,null,null,null,312.5,0,BENOA,-8.74659,37,115.205592,525400006,Pulau Mas - 131,15-NotDefined,null,null,null,null,null,null,null,null,null,2.5,null,null,null,"""2020-02-01T18:53:39.000Z""",1580583219,30-Fishing,null,null,null
157,3,25,Danyard A/S,C6QK,9-NoInfo,Lloyd's Register,65.1,United States of America,14140,Fr Rad,9.2,7.8,11110945,null,Bahamas,14061,244,9059614,VLISSINGEN,49.485163,180,0.485472,308701000,Barrington Island,5-Moored,706683,Ecuadorian Line Inc,Grupo Noboa Inc,Standard Club,Nassau                                ,Propeller : Fixed Pitch,430800289,BARR,null,0,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:37:46.000Z""",1668184666,7-Cargo,24/05/1993,21.5,null
158,17,24,Shikoku Dockyard,A8KJ7,0-AllShips,Bureau Veritas,109.7,Cayman Islands (British),14726,Ci Abj>cm Dla,9.02,7.9,11121800,null,Liberia,15058,111,9150810,ABIDJAN,2.394325,185,3.770595,636013068,Caribbean Star,0-Underway(Engine),13068,Star Reefers Pool Inc,Siem Shipping Inc,Britannia P&I,Monrovia                              ,Propeller : Fixed Pitch,null,null,null,18.6,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:02:32.000Z""",1668182552,7-Cargo,03/07/1997,20.3,null
50,5,10,Ningbo Qihang Shipyard,,5-Reserved,null,29.9,China,null,,null,1,0,null,"China, People's Republic Of",987,29,0,FREETOWN,8.491502,66,-13.195418,412201873,Meng Xin Yu Yun 369,15-NotDefined,2.10202E+15,Dalian Mengxin Pelagic Fishery,Dalian Mengxin Pelagic Fishery,Unknown,"Dalian, Liaoning",Propeller : Fixed Pitch,null,null,null,0.1,S,In Service/Commission,Fishing Support Vessel,"""2022-11-11T16:39:40.000Z""",1668184780,7-Cargo,null,0,null
41,4,7,Mukai,JM5933,0-AllShips,null,334,Japan,576,,3.96,0,0,NS1-1096,Japan,339,334,0,KARATSU,32.35276,56,127.792647,431601469,Shoutokumaru No.56,15-NotDefined,131322,Shoutoku Suisan KK,Shoutoku Suisan KK,Unknown,"Nagasaki, Nagasaki",Propeller : Controllable Pitch,null,null,null,0.6,S,In Service/Commission,Fish Carrier,"""2022-08-23T07:37:25.000Z""",1661240245,30-Fishing,25/12/1989,0,SH
0,0,11,Ferhat Usta Gemi Sanayi,TCA3913,0-AllShips,null,298,Turkey,null,,1.9,0,0,61Y22686,Turkey,255,298,0,EREGLI,41.273257,33,29.071063,271073148,Ulucanbalikcilik-1,15-NotDefined,null,Sen M,  Unknown,Unknown,Trabzon,Propeller : Fixed Pitch,null,null,null,9.4,S,In Service/Commission,Fish Carrier,"""2022-11-08T07:49:44.000Z""",1667893784,30-Fishing,21/12/2015,0,null
0,0,0,null,YEA4493,0-AllShips,null,101.9,null,null,,null,0,0,null,null,null,101.9,0,JAKARTA,-5.978523,0,106.678325,525800590,Harmoni Iv,15-NotDefined,null,null,null,null,null,null,null,null,null,6.1,null,null,null,"""2022-10-22T01:11:58.000Z""",1666401118,30-Fishing,null,null,null
8,6,8,null,WDF7589,0-AllShips,null,293.3,null,null,,null,2.9,2460,null,null,null,293.3,0,KETCHIKAN,56.056232,33,-134.366368,367486040,Nushagak Spirit,5-Moored,null,null,null,null,null,null,null,null,null,9.1,null,null,null,"""2022-11-11T16:19:34.000Z""",1668183574,30-Fishing,null,null,null
234,24,46,Daewoo Shipbuilding & Marine,3FLV3,4-HazCatD,null,292,South Korea,98064,Krinc,12.721,11.3,11242300,null,Panama,115716,290,9761839,BALBOA,29.320335,295,-147.308793,355658000,Sm Seahawk,0-Underway(Engine),4888817,Korea Gas Corp,Korea Line Corp,Korea P&I Club,Panama,Propeller : Fixed Pitch,null,null,Gas Carrier,15.6,S,In Service/Commission,LNG Tanker,"""2022-11-11T16:19:33.000Z""",1668183573,8-Tanker,28/10/2016,19.2,DHE
10,5,10,Izutsu,JG5390,0-AllShips,null,79.8,Japan,null,,null,0,0,IG1-472,Japan,271,79.8,0,ONAHAMA KO,37.972658,35,139.044487,431100941,Taiyo Maru No.38,15-NotDefined,136627,Namiichi Suisan KK,  Unknown,Unknown,Tokyo,Propeller : Controllable Pitch,null,null,null,14.4,S,In Service/Commission,Fishing Vessel,"""2022-11-10T15:43:41.000Z""",1668095021,30-Fishing,23/02/2001,14.4,SH
64,10,13,Teraoka Shipyard Co Ltd,UBFH2,0-AllShips,Russian Maritime Register,23.5,Russia,1958,Korsakov,4.26,4.4,11070900,null,Russia,1915,264,8617770,KORSAKOV,46.613083,84,142.487672,273354620,Marin Star,1-AtAnchor,null,Kamrei OOO,Marlen Ltd,Unknown,Petropavlovsk-Kamchatskiy,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:35:20.000Z""",1668184520,7-Cargo,08/02/1987,12,null
0,0,0,null,YB4527,0-AllShips,null,0,null,null,,null,0,0,null,null,null,0,0,JAKARTA,-6.09927,0,106.80084,525700277,Km.saparua-22,15-NotDefined,null,null,null,null,null,null,null,null,null,0,null,null,null,"""2020-07-14T10:17:20.000Z""",1594721840,37-Pleasure,null,null,null
66,3,11,Kurinoura Dockyard Co Ltd,UBZE3,0-AllShips,Russian Maritime Register,55.7,Russia,1752,Krabozavodsk,4.372,3.7,11111800,null,Russia,1846,55,8613542,SHAKOTAN,42.619515,85,145.349085,273348520,Pavlovsk,0-Underway(Engine),null,Gidrostroy JSC-Sakhalin,Gidrostroy JSC-Sakhalin,Unknown,Korsakov,Propeller : Fixed Pitch,null,null,null,10.5,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-10T19:30:08.000Z""",1668108608,7-Cargo,23/11/1986,12.5,SH
25,3,9,null,UAJV,0-AllShips,null,5,null,null,Kr Bus,null,4.6,1310400,null,null,null,325,8880523,PUSAN,35.072833,55,129.037833,273459400,Tamara,0-Underway(Engine),null,null,null,null,null,null,null,null,null,0.1,null,null,null,"""2020-02-03T02:00:18.000Z""",1580695218,30-Fishing,null,null,null
106,16,24,Hyundai Heavy Inds - Ulsan,C6FD4,9-NoInfo,Lloyd's Register,250,Sweden,14499,Cu Hav,10.002,8.7,11160200,null,Bahamas,12411,248,8311120,PUERTO BOLIVAR,28.74904,145,-51.841757,311001076,Ice Runner,0-Underway(Engine),7001404,Cool Carriers AB,  Unknown,Thomas Miller Specialty,Nassau,Propeller : Fixed Pitch,null,null,null,17.1,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:04:30.000Z""",1668182670,7-Cargo,15/06/1984,18,null
75,10,13,Shing Sheng Fa,V3VL3,9-NoInfo,null,15.1,Vanuatu,null,Eetll,1.68,3.3,7180800,null,Belize,80,30,9057252,TALLINN,59.898912,90,30.219355,312226000,Baltiyskiy-202,5-Moored,null,Gilontas Ocean Vanuatu Inc,Gilontas Ocean Panama SA,Unknown,Belize City,"Propeller : Yes, Type Unknown",null,null,null,0,S,In Service/Commission,Fishing Vessel,"""2021-11-28T00:23:59.000Z""",1638059039,7-Cargo,null,10,SH
63,11,17,Guangzhou Hangtong Shbldg,9VAA3,0-AllShips,Nippon Kaiji Kyokai,304.8,Indonesia,3876,Aepb/c,6.016,6.2,11111500,null,Singapore,2532,71,9397767,KEPPEL - (EAST SINGAPORE),1.298217,75,103.963003,566091000,Zemira,1-AtAnchor,392626,Hong Lam Marine Pte Ltd,Pertamina PT,Steamship Mutual,Singapore,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Oil Products Tanker,"""2022-11-11T16:29:20.000Z""",1668184160,8-Tanker,01/09/2006,10,DH
23,6,8,Giddings Boat Works Inc,WDI4732,0-AllShips,null,113,United States of America,null,Naknek Ak,null,2.2,0,null,United States Of America,162,111,8990809,SEATTLE,47.657152,27,-122.367477,368633000,Rogue,0-Underway(Engine),944290,Lightship Inc,Lightship Inc,Unknown,"Seattle, WA","Propeller : Yes, Type Unknown",null,null,null,0,S,In Service/Commission,Fishing Vessel,"""2022-09-12T20:04:04.000Z""",1663013044,30-Fishing,null,0,SH
90,3,16,Fukuoka Shipbuilding - Fukuoka,HODS,0-AllShips,Nippon Kaiji Kyokai,303.9,China,5517,Rabaul,7.164,7,11091100,null,Panama,4574,85,8919893,RABAUL,-4.226538,120,152.159368,352199000,Sea Trader I,1-AtAnchor,4830616,Shandong Zhonglu Fishery Shpg,Shandong Zhonglu Oceanic,Skuld,Panama,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T14:34:17.000Z""",1668177257,7-Cargo,22/09/1990,16,null
7,1,5,Astinave Guayaquil,LAU)COU,0-AllShips,null,237.9,Panama,null,Panama,null,0.3,1200000,null,Panama,62,0,0,BALBOA,9.006632,16,-79.596567,354811000,Cornuda,15-NotDefined,null,Panama Canal Authority,Panama Canal Authority,Unknown,Panama,"Propeller : Yes, Type Unknown",null,null,null,0,S,In Service/Commission,Pilot Vessel,"""2022-03-23T20:05:33.000Z""",1648065933,50-Pilot,30/04/2017,0,SH
33,5,10,Miho Shimizu,UEPQ,0-AllShips,Russian Maritime Register,0,Russia,1016,Busan,4.14,4,11040900,null,Russia,1009,333,7379553,PUSAN,35.067153,65,129.008352,273434080,Nadezhda,5-Moored,null,Oladon Co Ltd,  Unknown,Korea P&I Club,Petropavlovsk-Kamchatskiy,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:26:52.000Z""",1668184012,7-Cargo,08/01/1974,12.8,null
28,2,8,null,TFGY,0-AllShips,null,-1,null,null,Bildudalur,null,3.8,11201800,null,null,null,-1,8101379,BILDUDALUR,65.684487,40,-23.598912,251851770,Gunnar Tordarson,5-Moored,null,null,null,null,null,null,null,null,null,0,null,null,null,"""2020-03-04T19:42:10.000Z""",1583350930,7-Cargo,null,null,null
55,10,13,Kochi (Kaisei),DUPZ 6,0-AllShips,null,-1,Philippines,1828,Gensan.phil],4.601,4.5,11041400,null,Philippines,976,245,841954400,LAE,6.030827,75,125.144907,548003100,Maria Erlinda,0-Underway(Engine),00-0000554,Trans-Pacific Journey Fishing,Trans-Pacific Journey Fishing,Unknown,Manila,Propeller : Fixed Pitch,454800310,null,null,0,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-04T08:49:34.000Z""",1667551774,30-Fishing,02/03/1985,12.8,null
32,14,16,null,V4QC4,9-NoInfo,null,341,null,null,Alang,null,6.6,2271200,null,null,null,341,7703998,COLOMBO,13.908,97,74.176655,341399000,Pavel Panin,0-Underway(Engine),null,null,null,null,null,null,null,null,null,13.2,null,null,null,"""2022-02-26T03:48:00.000Z""",1645847280,7-Cargo,null,null,null
129,9,24,null,3EYO8,0-AllShips,null,276.9,null,null,Busan,null,9,1241300,null,null,null,20,8713562,PUSAN,35.038262,158,129.041865,351383000,Cheng Hang,1-AtAnchor,null,null,null,null,null,null,null,null,null,0.1,null,null,null,"""2022-02-10T15:12:33.000Z""",1644505953,7-Cargo,null,null,null
9,5,9,Porta Odra Sp z oo,CBOD,0-AllShips,null,222.9,null,450,,null,0,0,null,Chile,435,222.9,0,PUERTO MONTT,-41.948603,32,-72.829673,725014200,Oddeggut,15-NotDefined,3115,Rptd Sold Undisclosed Interest,  Unknown,Unknown,Valparaiso,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Fish Carrier,"""2022-11-10T08:36:56.000Z""",1668069416,7-Cargo,1999-00-00,0,SH
80,8,16,null,BOMK9,0-AllShips,null,273.6,null,null,Zhoushan,null,3.5,1031200,null,null,null,143,0,ZHOUSHAN,29.931388,97,122.218268,412760970,Huayang17,1-AtAnchor,null,null,null,null,null,null,null,null,null,0,null,null,null,"""2022-03-25T05:50:26.000Z""",1648187426,7-Cargo,null,null,null
22,5,10,Narasaki Zosen KK,UCPG,0-AllShips,Russian Maritime Register,194.3,Russia,622,Ru Zar,4.101,4.8,11120200,null,Russia,947,196,9152428,ZARUBINO,42.5753,64,131.0769,273418340,Ultimate,1-AtAnchor,null,Primkrab,Primkrab,Unknown,Vladivostok,Propeller : Controllable Pitch,null,null,null,0.1,S,In Service/Commission,Fish Factory Ship,"""2022-11-11T16:38:55.000Z""",1668184735,30-Fishing,30/11/1996,13.6,SH
0.5,0.5,1,null,,Unknown,null,26.1,null,null,,null,0,0,null,null,null,26.1,0,PALEMBANG,-5.737028,1,134.140382,525500095,Cinta Madina,15-NotDefined,null,null,null,null,null,null,null,null,null,5.7,null,null,null,"""2022-08-26T09:44:09.000Z""",1661507049,0-Unknown,null,null,null
30,4,9,Dalian Fishing Vessel Co,BALC,0-AllShips,China Classification Society,-1,China,645,Ning Bo  China,null,3.7,11051300,null,"China, People's Republic Of",490,-1,9374375,null,29.193333,55,121.931667,412206010,Long  Tai    6,5-Moored,null,Ningbo Xiangshan Fishery Trade,  Unknown,Unknown,"Ningbo, Zhejiang","Propeller : Yes, Type Unknown",null,null,null,0,S,In Service/Commission,Fish Carrier,"""2022-11-10T18:03:09.000Z""",1668103389,7-Cargo,09/09/2005,12,SH
70,8,10,null,T8A3293,0-AllShips,null,-1,null,null,,null,0,2460,null,null,null,-1,6908113,HON GAI,20.862815,80,106.637187,511100196,Chung Ching,0-Underway(Engine),null,null,null,null,null,null,null,null,null,0,null,null,null,"""2021-10-21T04:03:25.000Z""",1634789005,7-Cargo,null,null,null
10,2,4,null,YEB4862,0-AllShips,null,44.1,null,null,,null,0,0,null,null,null,44.1,0,BITUNG,1.456075,12,125.213825,525800894,Asmoro Jaya 6,15-NotDefined,null,null,null,null,null,null,null,null,null,0.3,null,null,null,"""2022-06-06T21:00:28.000Z""",1654549228,30-Fishing,null,null,null
32,2,9,null,UHWT,9-NoInfo,null,0,null,null,Slavyanka,null,4,6092100,null,null,null,0,8884256,SLAVYANKA,42.88305,55,131.41222,273844700,Kapitan Stekolschiko,1-AtAnchor,null,null,null,null,null,null,null,null,null,0,null,null,null,"""2021-07-28T01:13:10.000Z""",1627434790,7-Cargo,null,null,null
66,10,13,Kurinoura Dockyard Co Ltd,3E2024,0-AllShips,null,327.1,Singapore,1751,Shidao Cn,4.372,5,10151400,null,Panama,1887,331,8712398,PUSAN,28.00917,83,128.519238,352898731,Miracle,8-Underway(Sailing),54478PEXT,Taixin Fishery Singapore Pte,  Unknown,Unknown,Panama,Propeller : Fixed Pitch,null,null,null,9.3,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-10-11T22:46:59.000Z""",1665528419,7-Cargo,30/08/1987,14,SH
0,0,0,Yuni Yanto,YEC5133,0-AllShips,null,-1,Indonesia,null,,null,0,0,null,Indonesia,127,-1,0,BENOA,-7.399723,0,134.261535,525700420,Naga Mas Perkasa 123,15-NotDefined,null,Joven,Joven,Unknown,Benoa,Propeller : Fixed Pitch,null,null,null,0.1,S,In Service/Commission,Fishing Vessel,"""2022-09-26T05:01:34.000Z""",1664168494,30-Fishing,17/06/2015,0,null
18,7,8,Marine Fabricators Green,WDL8905,0-AllShips,null,235.5,United States of America,null,Saratoga Pass,null,2.7,10121000,null,United States Of America,213,211,8851467,SEATTLE,47.635868,26,-122.328783,367171480,Deception,3-ResManoeuvre,640956,Gjosund Marine LLC,  Unknown,Unknown,"Juneau, AK",Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Fishing Vessel,"""2022-11-11T16:34:21.000Z""",1668184461,30-Fishing,null,0,SH
15,6,12,Solstrand AS,LAFM,0-AllShips,Det Norske Veritas,249.8,Norway,700,Flakstadvaag,6,5.3,11020600,null,Norway,1186,250,9369849,HAMMERFEST,70.03254,53,20.678632,259162000,Viktoria Lady,0-Underway(Engine),null,Brodrene Karlsen AS,Brodrene Karlsen AS,Unknown,Tromso,Propeller : Controllable Pitch,null,null,null,12.2,S,In Service/Commission,Fish Carrier,"""2022-11-11T16:38:23.000Z""",1668184703,7-Cargo,05/03/2006,0,SH
12,5,10,Rigas Buvetava,CA8006,0-AllShips,null,178.5,Norway,500,Punta Arenas,null,5.2,10102200,null,Chile,721,157,9204532,RADA PUNTA ARENAS,-53.170307,46,-70.906507,725003401,Grip Arctic,5-Moored,3466,Aquaship AS,Aquaship AS,Unknown,Valparaiso,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Fish Carrier,"""2022-11-11T16:39:48.000Z""",1668184788,7-Cargo,10/11/1999,0,SH
84,0,14,Taihei Akitsu,DUL6023,9-NoInfo,null,143.3,Philippines,2123,Rabaul.png,5.022,4.9,10011520,null,Philippines,1542,117.4,8223983,LAE,-6.742743,84,146.994007,548056500,Francesca L.t,0-Underway(Engine),12-0000826,Trans-Pacific Journey Fishing,Trans-Pacific Journey Fishing,Unknown,General Santos,Propeller : Fixed Pitch,454800078,null,null,0.1,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:33:03.000Z""",1668184383,9-Other,11/01/1983,13.5,null
